movie_id,cast_data,crew_data
285,,Director|Gore Verbinski|Directing~~Producer|Jerry Bruckheimer|Production~~Producer|Eric McLeod|Production~~Producer|Chad Oman|Production~~Executive Producer|Mike Stenson|Production~~Screenplay|Ted Elliott|Writing~~Screenplay|Terry Rossio|Writing~~Director of Photography|Dariusz Wolski|Camera~~Original Music Composer|Hans Zimmer|Sound~~Editor|Stephen E. Rivkin|Editing~~Editor|Craig Wood|Editing~~Production Design|Rick Heinrichs|Art~~Costume Design|Liz Dann|Costume & Make-Up~~Costume Design|Penny Rose|Costume & Make-Up~~Casting|Denise Chamian|Production~~Casting|Priscilla John|Production~~Art Direction|John Dexter|Art~~Set Decoration|Cheryl Carasik|Art
49529,Taylor Kitsch|John Carter|0~~Lynn Collins|Dejah Thoris|1~~Samantha Morton|Sola|2~~Willem Dafoe|Tars Tarkas|3~~Thomas Haden Church|Tal Hajus|4~~Mark Strong|Matai Shang|5~~Ciarán Hinds|Tardos Mors|6~~Dominic West|Sab Than|7~~James Purefoy|Kantos Kan|8~~Bryan Cranston|Powell|9~~Polly Walker|Sarkoja|10~~Daryl Sabara|Edgar Rice Burroughs|11~~Arkie Reece|Stayman #1 / Helm|12~~Davood Ghadami|Stayman #3|13~~Pippa Nixon|Lightmaster|14~~James Embree|Thern #2|15~~Philip Philmar|Thern #1|16~~Emily Tierney|Pretty Woman in NYC Doorway|17~~Edmund Kente|Telegraph Clerk|18~~Nicholas Woodeson|Dalton|19~~Kyle Agnew|Stable Boy|20~~Don Stark|Dix the Storekeeper|21~~Josh Daugherty|Rowdy #1|22~~Jared Cyr|Rowdy #2|23~~Christopher Goodman|Stockade Guard|24,Director|Andrew Stanton|Directing~~Producer|Colin Wilson|Production~~Producer|Jim Morris|Production~~Producer|Lindsey Collins|Production~~Screenplay|Andrew Stanton|Writing~~Screenplay|Michael Chabon|Writing~~Screenplay|Mark Andrews|Writing~~Director of Photography|Daniel Mindel|Camera~~Editor|Eric Zumbrunnen|Editing~~Production Design|Nathan Crowley|Art~~Costume Design|Mayes C. Rubeo|Costume & Make-Up~~Casting|Gail Stevens|Production~~Casting|Marcia Ross|Production~~Art Direction|Robert Woodruff|Art~~Art Direction|John King|Art~~Art Direction|Scott Zuber|Art
559,,Director|Sam Raimi|Directing~~Producer|Laura Ziskin|Production~~Producer|Avi Arad|Production~~Producer|Grant Curtis|Production~~Executive Producer|Joseph M. Caracciolo Jr.|Production~~Executive Producer|Stan Lee|Production~~Executive Producer|Kevin Feige|Production~~Screenplay|Sam Raimi|Writing~~Screenplay|Alvin Sargent|Writing~~Screenplay|Ivan Raimi|Writing~~Director of Photography|Bill Pope|Camera~~Original Music Composer|Christopher Young|Sound~~Editor|Bob Murawski|Editing~~Production Design|Neil Spisak|Art~~Production Design|J. Michael Riva|Art~~Costume Design|James Acheson|Costume & Make-Up~~Costume Design|Katina Le Kerr|Costume & Make-Up~~Casting|Francine Maisler|Production~~Casting|Kathy Driscoll|Production~~Art Direction|Christopher Burian-Mohr|Art
38757,Zachary Levi|Flynn Rider (voice)|0~~Mandy Moore|Rapunzel (voice)|1~~Donna Murphy|Mother Gothel (voice)|2~~Ron Perlman|Stabbington Brother (voice)|3~~M.C. Gainey|Captain of the Guard (voice)|4~~Jeffrey Tambor|Big Nose Thug (voice)|5~~Brad Garrett|Hook Hand Thug (voice)|6~~Paul F. Tompkins|Short Thug (voice)|7~~Richard Kiel|Vlad (voice)|8~~Delaney Rose Stein|Young Rapunzel / Little Girl (voice)|9~~Nathan Greno|Guard 1 / Thug 1 (voice)|10~~Byron Howard|Guard 2 / Thug 2 (voice)|11~~Tim Mertens|Guard 3 (voice)|12,Director|Byron Howard|Directing~~Director|Nathan Greno|Directing~~Producer|Roy Conli|Production~~Executive Producer|John Lasseter|Production~~Executive Producer|Glen Keane|Production~~Screenplay|Dan Fogelman|Writing~~Story|Mark Kennedy|Writing~~Original Music Composer|Alan Menken|Sound~~Original Music Composer|Kevin Kliesch|Sound~~Editor|Tim Mertens|Editing~~Production Design|Douglas Rogers|Art~~Casting|Jamie Sparer Roberts|Production~~Art Direction|David Goetz|Art~~Novel|Jacob Grimm|Writing~~Novel|Wilhelm Grimm|Writing~~Animation Supervisor|John Kahrs|Visual Effects~~Songs|Alan Menken|Sound~~Co-Art Director|Dan Cooper|Art~~Sound Re-Recording Mixer|Dean A. Zupancic|Sound~~Sound Re-Recording Mixer|David E. Fluhr|Sound
767,Daniel Radcliffe|Harry Potter|0~~Rupert Grint|Ron Weasley|1~~Emma Watson|Hermione Granger|2~~Tom Felton|Draco Malfoy|3~~Michael Gambon|Albus Dumbledore|4~~Jim Broadbent|Horace Slughorn|5~~Helena Bonham Carter|Bellatrix Lestrange|6~~Robbie Coltrane|Rubeus Hagrid|7~~Maggie Smith|Minerva McGonagall|8~~Alan Rickman|Severus Snape|9~~Timothy Spall|Peter Pettigrew|10~~David Thewlis|Remus Lupin|11~~Julie Walters|Molly Weasley|12~~Matthew Lewis|Neville Longbottom|13~~Evanna Lynch|Luna Lovegood|14~~Bonnie Wright|Ginny Weasley|15~~Oliver Phelps|George Weasley|16~~James Phelps|Fred Weasley|17~~Mark Williams|Arthur Weasley|18~~Warwick Davis|Filius Flitwick|19~~Natalia Tena|Nymphadora Tonks|20~~Katie Leung|Cho Chang|21~~Dave Legeno|Fenrir Greyback|22~~Geraldine Somerville|Lily Potter|23~~Helen McCrory|Narcissa Malfoy|24,
1452,Brandon Routh|Superman / Clark Kent|0~~Kevin Spacey|Lex Luthor|1~~Kate Bosworth|Lois Lane|2~~James Marsden|Richard White|3~~Parker Posey|Kitty Kowalski|4~~Frank Langella|Perry White|5~~Sam Huntington|Jimmy Olsen|6~~Eva Marie Saint|Martha Kent|7~~Marlon Brando|Jor-El|8~~Kal Penn|Stanford|9~~Tristan Lake Leabu|Jason White|10~~David Fabrizio|Brutus|11~~Ian Roberts|Riley|12~~Vincent Stone|Grant|13~~Jack Larson|Bo the Bartender|15~~Noel Neill|Gertrude Vanderworth|16~~Keegan Joyce|Boy with Camera|17~~Jordana Beatty|Little Girl|18,Director|Bryan Singer|Directing~~Producer|Jon Peters|Production~~Producer|Gilbert Adler|Production~~Producer|Bryan Singer|Production~~Executive Producer|Chris Lee|Production~~Executive Producer|Thomas Tull|Production~~Executive Producer|William Fay|Production~~Screenplay|Michael Dougherty|Writing~~Screenplay|Dan Harris|Writing~~Story|Bryan Singer|Writing~~Story|Michael Dougherty|Writing~~Story|Dan Harris|Writing~~Director of Photography|Newton Thomas Sigel|Camera~~Original Music Composer|John Ottman|Sound~~Editor|John Ottman|Editing~~Editor|Elliot Graham|Editing~~Production Design|Guy Hendrix Dyas|Art~~Casting|Roger Mussenden|Production~~Casting|Ann Robinson|Production
10764,,Director|Marc Forster|Directing~~Producer|Barbara Broccoli|Production~~Producer|Michael G. Wilson|Production~~Executive Producer|Anthony Waye|Production~~Executive Producer|Callum McDougall|Production~~Screenplay|Paul Haggis|Writing~~Screenplay|Robert Wade|Writing~~Screenplay|Neal Purvis|Writing~~Director of Photography|Roberto Schaefer|Camera~~Editor|Richard Pearson|Editing~~Editor|Matt Chesse|Editing~~Production Design|Dennis Gassner|Art~~Costume Design|Louise Frogley|Costume & Make-Up~~Casting|Debbie McWilliams|Production~~Characters|Ian Fleming|Writing~~Music|David Arnold|Sound~~Associate Producer|Gregg Wilson|Production
58,,Director|Gore Verbinski|Directing~~Producer|Jerry Bruckheimer|Production~~Producer|Peter Kohn|Production~~Producer|Pat Sandston|Production~~Executive Producer|Bruce Hendricks|Production~~Executive Producer|Mike Stenson|Production~~Executive Producer|Eric McLeod|Production~~Screenplay|Ted Elliott|Writing~~Screenplay|Terry Rossio|Writing~~Director of Photography|Dariusz Wolski|Camera~~Original Music Composer|Hans Zimmer|Sound~~Editor|Stephen E. Rivkin|Editing~~Editor|Craig Wood|Editing~~Production Design|Rick Heinrichs|Art~~Visual Effects|Cedric Nicolas-Troyan|Visual Effects~~Casting|Denise Chamian|Production~~Author|Ted Elliott|Writing~~Author|Terry Rossio|Writing~~Conceptual Design|James Ward Byrkit|Art
57201,,Director|Gore Verbinski|Directing~~Producer|Gore Verbinski|Production~~Producer|Jerry Bruckheimer|Production~~Executive Producer|Ted Elliott|Production~~Executive Producer|Terry Rossio|Production~~Executive Producer|Johnny Depp|Production~~Screenplay|Ted Elliott|Writing~~Screenplay|Terry Rossio|Writing~~Screenplay|Justin Haythe|Writing~~Director of Photography|Bojan Bazelli|Camera~~Original Music Composer|Hans Zimmer|Sound~~Editor|Craig Wood|Editing~~Editor|James Haygood|Editing~~Production Design|Jess Gonchor|Art~~Costume Design|Penny Rose|Costume & Make-Up~~Casting|Denise Chamian|Production
49521,Henry Cavill|Clark Kent / Kal-El|0~~Amy Adams|Lois Lane|1~~Michael Shannon|General Zod|2~~Kevin Costner|Jonathan Kent|3~~Diane Lane|Martha Kent|4~~Russell Crowe|Jor-El|5~~Laurence Fishburne|Perry White|6~~Antje Traue|Faora-Ul|7~~Christopher Meloni|Colonel Hardy|8~~Jadin Gould|Lana Lang|9~~Tahmoh Penikett|Emerson|10~~Ayelet Zurer|Lara Lor-Van|11~~Richard Schiff|Dr. Emil Hamilton|12~~Dylan Sprayberry|Clark Kent at 13|13~~Michael Kelly|Steve Lombard|14~~Carla Gugino|Kelor (voice)|15~~Richard Cetrone|Tor-An|16~~Mackenzie Gray|Jax-Ur|17~~Julian Richings|Lor-Em|18~~Mary Black|Ro-Zar|19~~Samantha Jo|Car-Vex|20~~Rebecca Buller|Jenny|21~~Christina Wren|Major Carrie Farris|22~~David Lewis|Major Laramore|23~~Doug Abrahams|Heraldson|24,Director|Zack Snyder|Directing~~Producer|Charles Roven|Production~~Producer|Christopher Nolan|Production~~Producer|Emma Thomas|Production~~Executive Producer|Lloyd Phillips|Production~~Executive Producer|Jon Peters|Production~~Executive Producer|Thomas Tull|Production~~Screenplay|David S. Goyer|Writing~~Story|Christopher Nolan|Writing~~Story|David S. Goyer|Writing~~Director of Photography|Amir Mokri|Camera~~Original Music Composer|Hans Zimmer|Sound~~Editor|David Brenner|Editing~~Production Design|Alex McDowell|Art~~Costume Design|Michael Wilkinson|Costume & Make-Up~~Costume Design|James Acheson|Costume & Make-Up~~Visual Effects|Anthony Di Ninno|Visual Effects~~Casting|Lora Kennedy|Production~~Casting|Kristy Carlson|Production
